company_name,high,low,last_price,prev_close,change,percent_gain
Kirloskar Oil,"1,100.00","1,010.00","1,058.65",945.40,113.25,11.98
BLS Internation,340.00,311.00,336.70,308.50,28.2,9.14
Tejas Networks,555.00,507.00,549.15,506.50,42.65,8.42
Syrma SGS,901.00,842.05,892.90,831.05,61.85,7.44
Gujarat Fluoro,"3,717.60","3,525.80","3,699.50","3,488.20",211.3,6.06
Sonata,396.50,372.00,392.80,371.80,21,5.65
Biocon,408.80,381.20,405.90,385.10,20.8,5.4
Route,716.95,674.85,707.75,672.00,35.75,5.32
GNFC,521.00,494.65,519.45,493.35,26.1,5.29
Apar Ind,"9,159.50","8,554.50","8,980.00","8,531.00",449,5.26
AAVAS Financier,"1,748.70","1,645.00","1,704.00","1,619.20",84.8,5.24
Transformers,304.70,283.55,296.65,282.20,14.45,5.12
Max Financial,"1,727.70","1,600.00","1,718.80","1,635.50",83.3,5.09
Adani Enterpris,"2,517.50","2,361.00","2,484.50","2,366.80",117.7,4.97
BSE Limited,"2,818.00","2,732.10","2,775.40","2,644.20",131.2,4.96
Zee Entertain,104.55,98.74,103.41,98.78,4.63,4.69
IndusInd Bank,873.00,827.00,864.40,826.10,38.3,4.64
GE Shipping,"1,179.00","1,110.50","1,159.00","1,108.80",50.2,4.53
Intellect Desig,"1,168.00","1,090.10","1,148.00","1,098.90",49.1,4.47
Poonawalla Fin,491.00,462.80,489.30,468.45,20.85,4.45
Asian Paints,"2,838.70","2,642.10","2,769.80","2,657.20",112.6,4.24
Endurance Techn,"2,923.00","2,803.00","2,916.60","2,802.60",114,4.07
KEC Intl,803.40,765.80,797.70,768.05,29.65,3.86
Jyoti CNC Auto,999.90,952.00,988.90,952.20,36.7,3.85
Birlasoft,401.00,383.30,397.10,382.65,14.45,3.78
Premier Energie,"1,068.00","1,019.30","1,063.60","1,025.10",38.5,3.76
Firstsource Sol,370.80,353.75,366.35,353.10,13.25,3.75
Natco Pharma,829.00,797.20,822.35,792.95,29.4,3.71
Tech Mahindra,"1,460.20","1,414.00","1,456.10","1,408.00",48.1,3.42
CDSL,"1,659.90","1,610.00","1,655.30","1,600.90",54.4,3.4
eClerx Services,"4,551.00","4,360.70","4,487.50","4,341.70",145.8,3.36
Welspun Living,141.00,133.75,139.32,134.83,4.49,3.33
Akums Drugs P,458.10,434.70,453.15,438.60,14.55,3.32
CAMS,"4,019.80","3,850.00","3,964.00","3,838.40",125.6,3.27
Bandhan Bank,156.30,151.09,155.85,150.94,4.91,3.25
R R Kabel,"1,405.00","1,360.20","1,400.60","1,356.50",44.1,3.25
